Timestamp Roll Pitch Yaw Qw Qx Qy Qz
1746867533.653 1.75 0.04 0.28 1.0000 0.0000 0.0000 0.0000
1746867534.653 -1.79 -0.18 -0.16 1.0000 0.0000 0.0000 0.0000
1746867535.654 2.63 0.20 0.28 1.0000 0.0000 0.0000 0.0000
1746867536.654 -1.00 -0.29 -0.39 1.0000 0.0000 0.0000 0.0000
1746867537.656 -1.97 0.11 0.25 1.0000 0.0000 0.0000 0.0000
1746867538.656 -1.80 -0.26 -0.41 1.0000 0.0000 0.0000 0.0000
1746867539.657 -1.79 -0.11 -0.04 1.0000 0.0000 0.0000 0.0000
1746867540.659 1.73 -0.17 0.34 1.0000 0.0000 0.0000 0.0000
1746867541.663 2.37 0.24 0.30 1.0000 0.0000 0.0000 0.0000
1746867542.664 2.93 0.01 0.06 1.0000 0.0000 0.0000 0.0000
1746867543.662 -1.08 0.22 0.31 1.0000 0.0000 0.0000 0.0000
1746867544.663 1.72 -0.17 -0.10 1.0000 0.0000 0.0000 0.0000
1746867545.664 1.62 -0.02 0.22 1.0000 0.0000 0.0000 0.0000
1746867546.666 1.21 -0.09 -0.21 1.0000 0.0000 0.0000 0.0000
1746867547.667 0.27 0.05 0.26 1.0000 0.0000 0.0000 0.0000
1746867548.668 -2.22 0.03 0.35 1.0000 0.0000 0.0000 0.0000
1746867549.670 -3.13 0.03 0.03 1.0000 0.0000 0.0000 0.0000
1746867550.671 3.09 0.00 0.32 1.0000 0.0000 0.0000 0.0000
1746867551.671 2.60 -0.03 0.08 1.0000 0.0000 0.0000 0.0000
1746867552.672 -2.80 -0.16 0.38 1.0000 0.0000 0.0000 0.0000
1746867553.672 -2.36 -0.16 0.45 1.0000 0.0000 0.0000 0.0000
1746867554.673 -1.13 -0.09 0.42 1.0000 0.0000 0.0000 0.0000
1746867555.675 -0.32 -0.04 0.19 1.0000 0.0000 0.0000 0.0000
1746867556.677 -0.41 0.24 0.17 1.0000 0.0000 0.0000 0.0000
1746867557.677 -1.74 -0.00 0.08 1.0000 0.0000 0.0000 0.0000
1746867558.677 -3.05 0.20 0.48 1.0000 0.0000 0.0000 0.0000
1746867559.679 3.10 0.13 -0.35 1.0000 0.0000 0.0000 0.0000
1746867560.679 2.98 -0.29 -0.48 1.0000 0.0000 0.0000 0.0000
1746867561.680 -1.23 0.09 0.18 1.0000 0.0000 0.0000 0.0000
1746867562.680 0.51 -0.21 0.17 1.0000 0.0000 0.0000 0.0000
1746867563.681 -3.05 0.21 -0.36 1.0000 0.0000 0.0000 0.0000
1746867564.681 1.17 0.02 0.11 1.0000 0.0000 0.0000 0.0000
1746867565.682 1.37 0.26 -0.36 1.0000 0.0000 0.0000 0.0000
1746867566.682 -2.83 -0.15 -0.45 1.0000 0.0000 0.0000 0.0000
1746867567.683 -0.09 -0.30 -0.40 1.0000 0.0000 0.0000 0.0000
1746867568.684 -3.01 -0.14 0.18 1.0000 0.0000 0.0000 0.0000
1746867569.685 -3.12 0.01 0.04 1.0000 0.0000 0.0000 0.0000
1746867570.687 1.16 -0.20 0.45 1.0000 0.0000 0.0000 0.0000
1746867571.689 2.70 0.29 0.25 1.0000 0.0000 0.0000 0.0000
1746867572.689 1.33 0.14 -0.07 1.0000 0.0000 0.0000 0.0000
1746867573.690 0.85 -0.11 -0.37 1.0000 0.0000 0.0000 0.0000
1746867574.690 1.57 -0.01 0.08 1.0000 0.0000 0.0000 0.0000
1746867575.692 1.59 0.28 0.06 1.0000 0.0000 0.0000 0.0000
1746867576.693 -1.67 0.00 -0.42 1.0000 0.0000 0.0000 0.0000
1746867577.694 2.71 -0.07 -0.34 1.0000 0.0000 0.0000 0.0000
1746867578.695 1.07 0.05 0.29 1.0000 0.0000 0.0000 0.0000
1746867579.697 3.08 0.17 0.08 1.0000 0.0000 0.0000 0.0000
