Timestamp X Y Theta
1746867533.653 0.000 0.000 0.282
1746867534.653 -0.008 0.069 0.282
1746867534.653 -0.008 0.069 -0.163
1746867535.654 0.043 0.080 -0.163
1746867535.654 0.043 0.080 0.283
1746867536.654 0.037 0.087 0.283
1746867536.654 0.037 0.087 -0.394
1746867537.656 -0.036 0.015 -0.394
1746867537.656 -0.036 0.015 0.245
1746867538.656 -0.009 -0.015 0.245
1746867538.656 -0.009 -0.015 -0.406
1746867539.657 -0.036 -0.041 -0.406
1746867539.657 -0.036 -0.041 -0.044
1746867540.659 -0.054 -0.097 -0.044
1746867540.659 -0.054 -0.097 0.344
1746867541.663 -0.043 -0.047 0.344
1746867541.663 -0.043 -0.047 0.297
1746867542.660 -0.077 -0.015 0.297
1746867542.664 -0.078 -0.015 0.060
1746867543.662 -0.034 0.074 0.060
1746867543.666 -0.034 0.075 0.305
1746867544.663 -0.066 0.047 0.305
1746867544.663 -0.066 0.047 -0.096
1746867545.664 -0.075 0.088 -0.096
1746867545.664 -0.075 0.088 0.222
1746867546.666 -0.044 0.131 0.222
1746867546.666 -0.044 0.131 -0.208
1746867547.667 -0.097 0.104 -0.208
1746867547.667 -0.097 0.104 0.263
1746867548.668 -0.131 0.067 0.263
1746867548.668 -0.131 0.067 0.348
1746867549.670 -0.176 0.048 0.348
1746867549.670 -0.176 0.048 0.029
1746867550.671 -0.158 0.065 0.029
1746867550.671 -0.158 0.065 0.325
1746867551.671 -0.114 0.111 0.325
1746867551.671 -0.114 0.111 0.081
1746867552.672 -0.198 0.167 0.081
1746867552.672 -0.198 0.167 0.377
1746867553.672 -0.162 0.164 0.377
1746867553.672 -0.162 0.164 0.455
1746867554.673 -0.258 0.106 0.455
1746867554.673 -0.258 0.106 0.418
1746867555.675 -0.200 0.173 0.418
1746867555.675 -0.200 0.173 0.187
1746867556.677 -0.242 0.176 0.187
1746867556.677 -0.243 0.176 0.169
1746867557.677 -0.226 0.098 0.169
1746867557.677 -0.226 0.098 0.077
1746867558.677 -0.264 0.063 0.077
1746867558.677 -0.264 0.063 0.481
1746867559.679 -0.363 0.003 0.481
1746867559.679 -0.363 0.003 -0.349
1746867560.679 -0.394 -0.025 -0.349
1746867560.679 -0.394 -0.025 -0.478
1746867561.680 -0.390 -0.032 -0.478
1746867561.680 -0.390 -0.032 0.184
1746867562.680 -0.377 -0.004 0.184
1746867562.680 -0.377 -0.004 0.175
1746867563.681 -0.416 -0.095 0.175
1746867563.681 -0.416 -0.095 -0.361
1746867564.681 -0.481 -0.034 -0.361
1746867564.681 -0.481 -0.034 0.112
1746867565.682 -0.452 0.058 0.112
1746867565.682 -0.452 0.058 -0.362
1746867566.682 -0.337 0.064 -0.362
1746867566.682 -0.337 0.064 -0.454
1746867567.683 -0.284 0.119 -0.454
1746867567.683 -0.284 0.119 -0.396
1746867568.684 -0.278 0.003 -0.396
1746867568.684 -0.278 0.003 0.184
1746867569.685 -0.312 0.003 0.184
1746867569.685 -0.312 0.003 0.037
1746867570.687 -0.378 0.068 0.037
1746867570.687 -0.378 0.068 0.454
1746867571.689 -0.405 0.040 0.454
1746867571.689 -0.405 0.040 0.250
1746867572.689 -0.372 -0.042 0.250
1746867572.689 -0.372 -0.042 -0.069
1746867573.690 -0.325 -0.032 -0.069
1746867573.690 -0.325 -0.032 -0.370
1746867574.690 -0.395 -0.109 -0.370
1746867574.690 -0.395 -0.109 0.078
1746867575.692 -0.363 -0.064 0.078
1746867575.692 -0.363 -0.064 0.062
1746867576.693 -0.351 -0.131 0.062
1746867576.693 -0.351 -0.131 -0.422
1746867577.694 -0.344 -0.225 -0.422
1746867577.694 -0.344 -0.225 -0.336
1746867578.695 -0.328 -0.330 -0.336
1746867578.695 -0.327 -0.330 0.290
1746867579.697 -0.388 -0.256 0.290
1746867579.697 -0.388 -0.256 0.080
1746867580.697 -0.433 -0.255 0.080
1746867580.697 -0.433 -0.255 -0.125
1746867581.697 -0.371 -0.342 -0.125
1746867581.697 -0.371 -0.342 0.067
1746867582.698 -0.295 -0.300 0.067
1746867582.698 -0.295 -0.300 0.342
1746867583.699 -0.335 -0.245 0.342
1746867583.699 -0.335 -0.245 0.019
1746867584.701 -0.271 -0.243 0.019
1746867584.701 -0.271 -0.243 -0.221
1746867585.702 -0.290 -0.250 -0.221
1746867585.702 -0.290 -0.250 0.090
1746867586.702 -0.313 -0.283 0.090
1746867586.702 -0.313 -0.283 0.029
1746867587.703 -0.398 -0.274 0.029
1746867587.703 -0.398 -0.274 0.411
1746867588.704 -0.393 -0.200 0.411
1746867588.704 -0.393 -0.200 -0.268
1746867589.705 -0.428 -0.169 -0.268
1746867589.705 -0.428 -0.169 0.009
1746867590.706 -0.421 -0.069 0.009
1746867590.706 -0.421 -0.069 -0.436
1746867591.706 -0.439 -0.000 -0.436
