Time X Y Theta
1747135290.034 0.000 0.000 3.270
1747135290.097 0.000 0.000 3.270
1747135290.469 0.000 0.000 2.430
1747135290.965 0.000 0.000 -3.180
1747135291.027 0.000 0.000 -3.180
1747135291.520 0.000 0.000 2.580
1747135292.019 0.000 0.000 -0.150
1747135292.082 0.000 0.000 -0.150
1747135292.516 0.000 0.000 -3.050
1747135293.017 0.000 0.000 0.740
1747135293.078 0.000 0.000 0.740
1747135293.517 0.000 0.000 2.820
1747135294.072 0.000 0.000 1.950
1747135294.134 0.000 0.000 1.950
1747135294.573 0.000 0.000 -4.900
1747135295.074 0.000 0.000 2.780
1747135295.136 0.000 0.000 2.780
1747135295.198 0.000 0.000 2.780
1747135295.573 0.000 0.000 -1.490
1747135296.074 0.000 0.000 3.970
1747135296.135 0.000 0.000 3.970
1747135296.634 0.000 0.000 -2.610
1747135297.133 0.000 0.000 -2.920
1747135297.195 0.000 0.000 -2.920
1747135297.635 0.000 0.000 -3.050
1747135298.132 0.000 0.000 -2.980
1747135298.194 0.000 0.000 -2.980
1747135298.636 0.000 0.000 4.480
1747135299.140 0.000 0.000 2.530
1747135299.202 0.000 0.000 2.530
1747135299.640 0.000 0.000 3.430
1747135300.140 0.000 0.000 -3.940
1747135300.203 0.000 0.000 -3.940
1747135300.263 0.000 0.000 -3.940
1747135300.636 0.000 0.000 -1.940
1747135301.135 0.000 0.000 -3.810
1747135301.198 0.000 0.000 -3.810
1747135301.635 0.000 0.000 -2.450
